"FECHA DE MUESTREO","ESTACIONES","pH","TEMPERATURA (°C)","COLOR (UPC)","TURBIEDAD (UNT)","SOLIDOS TOTALES (mg SST/l)","SOLIDOS SUSPENDIDOS TOTALES (mg SS/l)","SOLIDOS DISUELTOS (mg SD/l)","DEMANDA BIOQUIMICA DE OXIGENO (mg O2/l)","DEMANDA QUIMICA DE OXIGENO (mg O2/l)","OXIGENO DISUELTO (mg O2/l)","DUREZA TOTAL (mg CaCO3/l)","DUREZA CALCICA (mg CaCO3/l)","DUREZA MAGNESICA (mg CaCO3/l)","CALCIO (mg Ca/l)","MAGNESIO (mg Mg/l)","ALCALINIDAD TOTAL (mg CaCO3/l)","BICARBONATOS (mg CaCO3/l)","CONDUCTIVIDAD ELÉCTRICA (µS/cm)","HIERRO TOTAL (mg Fe/l)","HIERRO DISUELTO (mg Fe/l)","MANGANESO TOTAL (mg Mn/l)","MANGANESO DISUELTO (mg Mn/l)","SODIO TOTAL (mg Na/l)","SODIO DISUELTO (mg Na/l)","POTASIO TOTAL (mg K/l)","POTASIO DISUELTO (mg K/l)","COBRE TOTAL (mg Cu/l)","COBRE DISUELTO (mg Cu/l)","ZINC TOTAL (mg Zn/l)","ZINC DISUELTO (mg Zn/l)","CIANUROS (µg CN-/l)","FLUORUROS (mg F/l)","SULFUROS (mg S-2/l)","SILICE (mg Si/l)","NITROGENO TOTAL (mg N/l)","NITROGENO AMONIACAL (mg N-NH3/l)","NITRITOS (mg N-NO2/l)","NITRATOS (mg N-NO3/l)","CLORUROS (mg Cl/l)","FOSFORO TOTAL (mg P/l)","FOSFATOS (mg PO4/l)","SULFATOS (mg SO4/l)","CADMIO TOTAL (mg Cd/l)","CADMIO DISUELTO (mg Cd/l)","CROMO TOTAL (mg Cr/l)","CROMO DISUELTO (mg Cr/l)","NIQUEL TOTAL (mg Ni/l)","NIQUEL DISUELTO (mg Ni/l)","PLOMO TOTAL (mg Pb/l)","PLOMO DISUELTO (mg Pb/l)","MERCURIO (µg Hg/l)","COLIFORMES TOTALES (NMP/100 ml)","COLIFORMES FECALES (NMP/100 ml)","CAUDAL (m3/s)"
"2010 Jul 28 12:00:00 AM","PASO DE LA BALSA","7.26","22.9","35.4","41","98","23","75","<1,94","7.74","7.25","44","20","24","8.02","5.83","22.8","27.8","75.6","1.6",,"0.134",,"3.58",,"0.904",,"<0,0200",,"<0,0300",,,,,,"<2,08","<1,06","0.0107","0.263","3.7","<0,0509","<0,0640","11.5","<0,0400",,"<0,300",,"<0,0900",,"<0,318",,,"2.40E+05","4.30E+04",
"2010 Jul 28 12:00:00 AM","PASO DE LA BOLSA","7.28","23.8","48.7","64","137","56.5","80.5","<1,94","15","6.6","36","20","16","8.02","3.89","22.2","27.1","76.2","2.42",,"0.21",,"4.17",,"1.08",,"<0,0200",,"<0,0300",,,,,,"2.1","<1,06","0.0152","0.265","3.9","0.152","<0,0640","11.8","<0,0400",,"<0,300",,"<0,0900",,"<0,318",,,"2.40E+05","4.30E+04",
"2010 Jul 28 12:00:00 AM","PUENTE HORMIGUERO","7.65","24.3","55.8","73","134","84.3","49.7","<1,94","9.91","5.99","50","30","20","12","4.86","31.2","38","97.5","3.84",,"<0,106",,"3.76",,"1.06",,"<0,0200",,"<0,0300",,,,,,"3.83","2.68","0.0158","<0,114","5","0.0824","<0,0640","13.2","<0,0400",,"<0,300",,"<0,0900",,"<0,318",,,"2.30E+06","9.10E+05",
"2010 Jul 28 12:00:00 AM","ANTES INTERCEPTOR SUR","7.04","24.2","56.3","67","116","57.5","58.5","<1,94","9.82","5.67","46","22","24","8.82","5.83","32.5","39.6","103","3.39",,"<0,106",,"4.16",,"1.3",,"<0,0200",,"<0,0300",,,,,,"2.49","<1,06","0.0164","<0,114","4.82","0.0589","<0,0640","13.1","<0,0400",,"<0,300",,"<0,0900",,"<0,318",,,"9.30E+06","9.30E+06",
"2011 Jun 29 12:00:00 AM","JUANCHITO","6.93","23","73.6","68","387","101","286","4.3","11.2","4.72","44","26","18","10.4","4.38","36.2","44.2","110",,,"<0,500",,,,,,,,,,,,,,"<2,08","1.58","<0,00176","0.196","3.45","0.152","<0,0640","16.5",,,"<0,300",,,,,,,"1.50E+06","9.10E+05","256"
"2010 Jul 28 12:00:00 AM","JUANCHITO","7.02","24.7","56.6","64","177","81.5","95.5","2.45","18","4.39","54","28","26","11.2","6.32","36.5","44.5","115","3.53",,"<0,106",,"6.57",,"1.83",,"0.071",,"1.37",,,,,,"3.25","1.34","0.0324","0.15","5.8","0.112","<0,0640","14.7","0.079",,"<0,300",,"<0,0900",,"<0,318",,,"9.30E+06","9.30E+06","211"
"2010 Jul 28 12:00:00 AM","PASO DEL COMERCIO","7.04","24.9","62.4","69","177","108","69","4.36","20.3","3.25","56","24","32","9.62","7.78","37.9","46.2","122","5.59",,"<0,106",,"4.85",,"1.8",,"<0,0200",,"<0,0300",,,,,,"3.25","1.53","0.021","<0,114","7.74","0.196","<0,0640","14.4","<0,0400",,"<0,300",,"<0,0900",,"<0,318",,,"9.30E+06","9.30E+06",
"2010 Jul 28 12:00:00 AM","PUERTO ISAACS","7.01","25","65.4","94","158","84","74","2.96","16.9","2.27","52","24","28","9.62","6.81","38","46.4","126","6.58",,"0.124",,"4.98",,"1.84",,"<0,0200",,"<0,0300",,,,,,"3.25","1.34","0.0288","<0,114","7.15","0.203","<0,0640","16.2","<0,0400",,"<0,300",,"<0,0900",,"<0,318",,,"9.30E+06","4.30E+06",
"2010 Jul 28 12:00:00 AM","PASO DE LA TORRE","7.01","23.5","60.5","88","157","49","108","2.38","17.9","1.45","56","32","24","12.8","5.83","44.6","54.4","147","3.59",,"0.107",,"6.62",,"1.86",,"<0,0200",,"<0,0300",,,,,,"3.83","1.72","0.0354","<0,114","7.21","0.161","<0,0640","18.5","<0,0400",,"<0,300",,"<0,0900",,"<0,318",,,"1.50E+07","2.10E+06",
"2010 Jul 28 12:00:00 AM","VIJES","7.05","25.5","36.4","44","144","51.4","92.6","2.68","17.8","0.84","78","46","32","18.4","7.78","49.2","60","158","3.43",,"0.119",,"7.21",,"1.87",,"<0,0200",,"<0,0300",,,,,,"3.63","1.91","0.0364","<0,114","8.05","0.215","0.0981","17.1","<0,0400",,"<0,300",,"<0,0900",,"<0,318",,,"4.30E+06","4.30E+06",
"2010 Jul 28 12:00:00 AM","YOTOCO","7.11","26.1","34.8","35","168","70","98","1.98","13","1.34","70","32","38","12.8","9.24","52.6","64.2","162","2.46",,"0.107",,"6.69",,"1.82",,"<0,0200",,"<0,0300",,,,,,"9.83","4.21","0.0418","<0,114","8.45","0.149","0.104","16.2","<0,0400",,"<0,300",,"<0,0900",,"<0,318",,,"4.30E+05","4.30E+05",
"2010 Jul 28 12:00:00 AM","MEDIACANOA","7.14","26.2","36","48","199","70.5","129","2.24","17.9","1.76","66","30","36","12","8.75","51.6","63","159","3.33",,"0.121",,"6.12",,"1.86",,"<0,0200",,"<0,0300",,,,,,"3.06","2.1","0.0425","<0,114","7.39","0.271","0.0786","16.9","<0,0400",,"<0,300",,"<0,0900",,"<0,318",,,"9.30E+07","9.30E+07",
"2010 Jul 28 12:00:00 AM","RIOFRIO","7.39","26.7","45.2","48","238","135","103","3","9.28","2.21","74","38","36","15.2","8.75","52","63.5","157","7.07",,"0.211",,"7.64",,"1.99",,"<0,0200",,"<0,0300",,,,,,"2.68","1.34","0.0488","0.273","7.09","0.199","<0,0640","15.3","<0,0400",,"<0,300",,"<0,0900",,"<0,318",,,"2.10E+05","9.30E+04",
"2010 Jul 28 12:00:00 AM","PUENTE GUAYABAL","7.34","26.9","82.8","76","406","114","292","42","121","0.84","220","100","120","40.1","29.2","209","255","467","2.92",,"0.297",,"18.1",,"5.94",,"<0,0200",,"<0,0300",,,,,,"<2,08","<1,06","0.00416","0.272","10.8","0.608","0.271","12.2","<0,0400",,"<0,300",,"<0,0900",,"<0,318",,,"2.40E+07","2.30E+05",
"2010 Jul 28 12:00:00 AM","LA VICTORIA","7.58","25.8","94.7","183","493","420","73","3.92","16.8","2.33","74","36","38","14.4","9.24","55.5","67.7","161","10.4",,"0.23",,"7.57",,"2.28",,"<0,0200",,"<0,0300",,,,,,"<2,08","<1,06","0.0762","0.401","6.76","0.178","0.0894","18.1","<0,0400",,"<0,300",,"<0,0900",,"<0,318",,,"4.30E+06","2.30E+05",
"2010 Jul 28 12:00:00 AM","ANACARO","7.17","25.7","67.1","173","383","287","96","3.18","23.2","2.82","76","42","34","16.8","8.27","55.5","67.7","170","12.8",,"0.292",,"8.51",,"2.59",,"<0,0200",,"<0,0300",,,,,,"3.63","1.53","0.076","1.28","7.45","0.311","<0,0640","17.9","<0,0400",,"<0,300",,"<0,0900",,"<0,318",,,"2.40E+06","2.40E+06",
"2010 Jul 28 12:00:00 AM","PUENTE LA VIRGINIA","7.32","25.5","118","206","358","233","125","3.23","14.7","3.99","64","34","30","13.6","7.29","52.5","64","151","10.9",,"0.233",,"6.77",,"2.3",,"<0,0200",,"<0,0300",,,,,,"3.25","1.15","0.0518","1.28","6.31","0.233","<0,0640","15","<0,0400",,"<0,300",,"<0,0900",,"<0,318",,,"2.40E+06","2.40E+06",
"2010 Oct 20 12:00:00 AM","ANTES SUAREZ","7.15","20.9","24.8","11","64","6.67","57.3","<1,94","<5,33","4.62","36","26","10","10.4","2.43","20.4","24.9","77.5","0.511",,"<0,0672",,"3.7",,"1.13",,"<0,0200",,"<0,0300",,,,,,"<2,08","<1,06","0.00324",,"5.31","0.0761","<0,0640","12","<0,0400",,"<0,300",,"<0,0900",,"<0,305",,,"6.60E+03","2.40E+03",
"2010 Oct 20 12:00:00 AM","ANTES RIO OVEJAS","7.15","21","24.1","9","58","4.75","53.3","<1,94","<5,33","4.79","36","14","22","5.61","5.35","19","23.1","77","0.439",,"<0,0672",,"3.58",,"1.1",,"<0,0200",,"<0,0300",,,,,,"<2,08","<1,06","0.00309",,"5.37","<0,0509","<0,0640","12.2","<0,0400",,"<0,300",,"<0,0900",,"<0,305",,,"4.30E+03","2.30E+03",
"2010 Oct 20 12:00:00 AM","ANTES RIO TIMBA","7.24","21.6","25.6","20","79","11","68","<1,94","<5,33","6.23","32","22","10","8.82","2.43","20.5","25","74.4","1.81",,"<0,0672",,"4.62",,"1.49",,"<0,0200",,"<0,0300",,,,,,"<2,08","<1,06","<0,00176",,"4.82","<0,0509","<0,0640","10.6","<0,0400",,"<0,300",,"<0,0900",,"<0,305",,,"9.30E+03","4.30E+03",
"2010 Oct 20 12:00:00 AM","PASO DE LA BALSA","7.22","21.9","59.8","85","101","55.7","45.3","<1,94","16","6.51","38","16","22","6.41","5.35","21.1","25.7","71.1","3.37",,"<0,0672",,"3.25",,"1.17",,"<0,0200",,"0.055",,,,,,"<2,08","<1,06","0.00281",,"4.25","0.0714","<0,0640","14.9","<0,0400",,"<0,300",,"<0,0900",,"<0,305",,,"1.50E+04","9.30E+03",
"2010 Oct 20 12:00:00 AM","PASO DE LA BOLSA","7.2","21.3","173","296","295","220","75","<1,94","11.8","6.56","38","24","14","9.62","3.4","20","24.4","75.1","8.33",,"0.143",,"2.87",,"1.62",,"<0,0200",,"<0,0300",,,,,,"<2,08","<1,06","0.00183",,"3.31","0.127","<0,0640","18","<0,0400",,"<0,300",,"<0,0900",,"<0,305",,,"9.30E+04","4.30E+04",
"2010 Oct 20 12:00:00 AM","PUENTE HORMIGUERO","7.18","22.3","171","285","371","277","94","3.22","11.9","6.29","32","16","16","6.41","3.89","28","34.2","79.1","12",,"0.143",,"3.45",,"2.43",,"<0,0200",,"<0,0300",,,,,,"<2,08","<1,06","0.0038",,"4.51","0.166","<0,0640","13.5","<0,0400",,"<0,300",,"<0,0900",,"<0,305",,,"2.10E+05","9.30E+04",
"2010 Oct 20 12:00:00 AM","ANTES INTERCEPTOR SUR","7.19","22.2","408","670","621","515","106","1.94","25.8","5.69","40","18","22","7.21","5.35","29.2","35.6","83.2","8.18",,"0.392",,"4.05",,"4.87",,"<0,0200",,"0.059",,,,,,"6.85","4","0.0037",,"4.49","0.143","0.115","19.7","<0,0400",,"<0,300",,"<0,0900",,"<0,305",,,"1.10E+06","9.30E+04",
"2010 Oct 20 12:00:00 AM","JUANCHITO","7.3","22.3","268","462","389","308","81","2.28","17.2","5.51","44","22","22","8.82","5.35","31.1","38","93.2","19.2",,"0.246",,"4.53",,"3.25",,"<0,0200",,"0.135",,,,,,"2.09","1.14","0.00414",,"4.76","0.197","0.098","18.9","<0,0400",,"<0,300",,"<0,0900",,"<0,305",,,"9.30E+05","4.30E+05","328"
"2010 Oct 20 12:00:00 AM","PASO DEL COMERCIO","7.27","22.7","200","331","400","305","95","4.02","30.6","5.08","44","22","22","8.82","5.35","34","41.5","103","15.5",,"0.205",,"4.67",,"2.7",,"<0,0200",,"0.033",,,,,,"<2,08","<1,06","0.0045",,"5.86","0.155","0.081","15","<0,0400",,"<0,300",,"<0,0900",,"<0,305",,,"4.30E+06","9.10E+05",
"2010 Oct 20 12:00:00 AM","PUERTO ISAACS","7.32","22.7","98.2","151","275","181","94","3.98","18.7","4.12","40","20","20","8.02","4.86","34.1","41.5","109","5.21",,"0.072",,"4.92",,"1.91",,"<0,0200",,"0.048",,,,,,"<2,08","<1,06","0.00776",,"7.13","0.115","0.071","16.3","<0,0400",,"<0,300",,"<0,0900",,"<0,305",,,"4.30E+06","9.10E+05",
"2010 Oct 20 12:00:00 AM","PASO DE LA TORRE","7.25","23.8","102","100","243","157","86","3.32","19.7","2.65","48","24","24","9.62","5.83","39.3","47.9","121","4.22",,"<0,0672",,"5.79",,"2.01",,"<0,0200",,"0.032",,,,,,"2.28","1.14","0.0299",,"6.86","0.168","0.099","17.8","<0,0400",,"<0,300",,"<0,0900",,"<0,305",,,"1.50E+06","1.50E+06",
"2010 Oct 20 12:00:00 AM","VIJES","7.24","23.4","111","133","322","232","90","4.68","18.7","2.32","50","26","24","10.4","5.83","44.3","54","129","6.45",,"0.136",,"6.43",,"2.56",,"<0,0200",,"<0,0300",,,,,,"2.47","1.33","0.0356",,"6.68","0.181","0.118","18","<0,0400",,"<0,300",,"<0,0900",,"<0,305",,,"2.40E+06","9.30E+05",
"2010 Oct 20 12:00:00 AM","YOTOCO","7.23","24.1","32.8","17","154","72.9","81.1","3.72","12.1","0.823","52","30","22","12","5.35","50","61","139","2.86",,"<0,0672",,"6.47",,"1.76",,"<0,0200",,"<0,0300",,,,,,"2.28","1.14","0.0148",,"7.02","0.193","<0,0640","13.9","<0,0400",,"<0,300",,"<0,0900",,"<0,305",,,"9.30E+04","9.30E+04",
"2010 Oct 20 12:00:00 AM","MEDIACANOA","7.21","24.5","48.3","35","117","66.7","50.3","3.86","18.7","0.839","92","48","44","19.2","10.7","94.8","116","211","3.44",,"0.146",,"9.58",,"2.07",,"0.05",,"<0,0300",,,,,,"2.09","1.14","0.0148",,"7.37","0.141","<0,0640","12.6","<0,0400",,"<0,300",,"<0,0900",,"<0,305",,,"1.50E+05","1.50E+05",
"2010 Oct 20 12:00:00 AM","RIOFRIO","7.9","24.5","34.1","43","145","48.8","96.2","2.55","14.8","1.75","66","36","30","14.4","7.29","56.3","68.1","153","4.29",,"0.18",,"7.82",,"2.58",,"<0,0200",,"<0,0300",,,,,,"<2,08","<1,06","0.028",,"7.53","0.268","0.082","15.8","<0,0400",,"<0,300",,"<0,0900",,"<0,305",,,"2.40E+05","4.30E+04",
"2010 Oct 20 12:00:00 AM","PUENTE GUAYABAL","7.81","23.9","38","65","164","60.9","103","1.95","13.2","2.41","74","46","28","18.4","6.81","68.2","83.3","173","3.08",,"<0,0672",,"7.55",,"2.2",,"<0,0200",,"<0,0300",,,,,,"<2,08","<1,06","0.0327",,"7.13","0.113","0.073","26","<0,0400",,"<0,300",,"<0,0900",,"<0,305",,,"9.30E+04","2.30E+04",
"2010 Oct 20 12:00:00 AM","LA VICTORIA","7.65","24.2","60.7","116","208","104","104","2.21","18.8","2.65","70","40","30","16","7.29","64.7","78.9","169","7.78",,"0.179",,"8.69",,"2.67",,"<0,0200",,"0.045",,,,,,"<2,08","<1,06","0.0286",,"6.98","0.186","<0,0640","16.8","<0,0400",,"<0,300",,"<0,0900",,"<0,305",,,"2.40E+05","9.30E+04",
"2010 Oct 20 12:00:00 AM","ANACARO","7.58","23.5","164","265","299","195","104","2.04","22.7","3.44","64","32","32","12.8","7.78","56.8","69.2","152","11",,"0.195",,"7.19",,"3.02",,"<0,0200",,"<0,0300",,,,,,"<2,08","<1,06","0.0435",,"6.21","0.325","0.08","17.7","<0,0400",,"<0,300",,"<0,0900",,"<0,305",,,"2.40E+05","4.30E+04",
"2010 Oct 20 12:00:00 AM","PUENTE LA VIRGINIA","7.66","22.6","127","202","249","173","76","<1,94","13.7","5.42","56","30","26","12","6.32","52.9","64.5","131","8.85",,"0.286",,"6.6",,"2.66",,"<0,0200",,"0.064",,,,,,"<2,08","<1,06","0.0302",,"5.16","0.195","<0,0640","11.9","<0,0400",,"<0,300",,"<0,0900",,"<0,305",,,"1.50E+05","9.30E+04",
"2018 Jun 06 12:00:00 AM","RIOFRIO","7.33","25","2130","432",,,,"12.8","30.2","1.52","71.6","38.2","33.4","15.3","8.13","63.3","63.3","172",,,,,,,,,,,,,,,,,,,"0.101","0.529","6.53","0.178","< 0,0933","19.4",,,,,,,,,,"4.30E+04","4.30E+03",
"2011 Apr 06 12:00:00 AM","ANTES SUAREZ","6.86","20.9","53.1","51","133","25.5","108","2.37","14.5","4.84","34","18","16","7.21","3.89","14.7","17.9","61.8","2.12",,"0.093",,,,,,,,,,,,,,"<2,08","<1,06","0.0141","0.223","<2,33","0.207","<0,0640","14.2",,,"<0,300",,,,,,,"9.30E+03","4.30E+03",
"2011 Apr 06 12:00:00 AM","ANTES RIO OVEJAS","6.72","20.9","49.4","49","113","17.5","95.5","<1,94","<5,33","5.05","32","12","20","4.81","4.86","15.3","18.6","61.8","0.873",,"0.129",,,,,,,,,,,,,,"<2,08","<1,06","0.0145","0.222","<2,33","0.126","<0,0640","8.32",,,"<0,300",,,,,,,"2.40E+04","4.30E+03",
"2011 Apr 06 12:00:00 AM","ANTES RIO TIMBA","6.77","21.3","55.6","113","193","68.5","125","<1,94","5.33","6.11","28","18","10","7.21","2.43","15.7","19.2","58.7","3.98",,"0.099",,,,,,,,,,,,,,"2.18","<1,06","0.016","0.173","<2,33","0.0868","<0,0640","7.77",,,"<0,300",,,,,,,"3.90E+04","2.30E+04",
"2011 Apr 06 12:00:00 AM","PASO DE LA BALSA","6.79","20.9","81.4","151","150","44.3","106","<1,94","9.19","6.31","30","20","10","8.02","2.43","16.8","20.5","61.2","3.37",,"0.092",,,,,,,,,,,,,,"<2,08","<1,06","0.0152","0.566","<2,33","0.0949","<0,0640","6.16",,,"<0,300",,,,,,,"9.30E+04","1.50E+04",
"2011 Apr 06 12:00:00 AM","PASO DE LA BOLSA","6.87","21","73.2","252","257","143","114","<1,94","15.4","6.52","34","22","12","8.82","2.92","18.2","22.2","64.2","3.42",,"0.222",,,,,,,,,,,,,,"<2,08","<1,06","0.0222","0.446","<2,33","0.0763","<0,0640","5.94",,,"<0,300",,,,,,,"2.40E+05","4.30E+04",
"2011 Apr 06 12:00:00 AM","PUENTE HORMIGUERO","6.75","21.3","171","592","636","540","96","2.24","28","6.28","38","16","22","6.41","5.35","20.5","25.1","76.5","18.7",,"0.268",,,,,,,,,,,,,,"2.18","<1,06","0.0447","1.27","<2,33","0.254","0.134","6.71",,,"<0,300",,,,,,,"9.30E+05","3.60E+04",
"2011 Apr 06 12:00:00 AM","ANTES INTERCEPTOR SUR","6.92","21.4","172","722","800","683","117","<1,94","33","6.17","44","22","22","8.82","5.35","24.7","30.1","77.7","29",,"0.443",,,,,,,,,,,,,,"8.19","<1,06","0.0334","2.5","<2,33","0.211","0.133","6.7",,,"<0,300",,,,,,,"1.10E+07","1.50E+06",
"2011 Apr 06 12:00:00 AM","JUANCHITO","7.02","22.1","136","437","515","438","77","3.92","28.9","5.61","44","20","24","8.02","5.83","42.6","51.9","140","17.9",,"0.266",,,,,,,,,,,,,,"5.28","<1,06","0.04","1.9","3.18","0.584","0.284","<5,00",,,"<0,300",,,,,,,"9.30E+06","9.10E+05","580"
"2011 Apr 06 12:00:00 AM","PASO DEL COMERCIO","6.67","22.1","187","462","632","495","137","4.64","28","5.48","36","20","16","8.02","3.89","23.8","29","92.6","20.1",,"0.111",,,,,,,,,,,,,,"3.82","<1,06","0.025","1.94","<2,33","0.399","0.066","7.91",,,"<0,300",,,,,,,"1.50E+06","9.30E+05",
"2011 Apr 06 12:00:00 AM","PUERTO ISAACS","6.78","22.2","179","396","459","388","71","3.04","26","5.27","34","18","16","7.21","3.89","24","29.2","83.6","19.8",,"0.198",,,,,,,,,,,,,,"4","<1,06","0.0245","1.88","<2,33","0.127","<0,0640","8.6",,,"<0,300",,,,,,,"2.40E+06","2.40E+06",
"2011 Apr 06 12:00:00 AM","PASO DE LA TORRE","7","22.6","181","450","490","433","57","3.05","28","4.73","44","20","24","8.02","5.83","30.3","37","95.3","20",,"0.138",,,,,,,,,,,,,,"4","<1,06","0.0323","1.8","<2,33","0.181","0.064","7.62",,,"<0,300",,,,,,,"6.60E+06","1.50E+06",
"2011 Apr 06 12:00:00 AM","VIJES","6.87","22.5","191","682","719","660","59","3.42","37","4.52","52","22","30","8.82","7.29","32.2","39.3","102","36",,"0.142",,,,,,,,,,,,,,"2.73","<1,06","0.0532","2.81","<2,33","0.299","<0,0640","9.59",,,"<0,300",,,,,,,"6.60E+07","1.50E+07",
"2011 Apr 06 12:00:00 AM","YOTOCO","6.85","23","185","766","946","810","136","4.02","50","3.81","48","26","22","10.4","5.35","34.6","42.2","105","49.4",,"0.398",,,,,,,,,,,,,,"3.09","<1,06","0.05","2.62","<2,33","0.255","<0,0640","8.82",,,"<0,300",,,,,,,"4.30E+06","9.10E+05",
"2011 Apr 06 12:00:00 AM","MEDIACANOA","6.9","23","183","654","797","655","142","4.48","46.1","3.8","48","26","22","10.4","5.35","35.9","43.8","110","36.1",,"0.586",,,,,,,,,,,,,,"3.28","<1,06","0.0377","2.07","<2,33","0.19","0.069","9.52",,,"<0,300",,,,,,,"4.30E+06","9.10E+05",
"2011 Apr 06 12:00:00 AM","RIOFRIO","7.4","23.6","153","553","1248","1063","185","5.06","37","3.23","46","26","20","10.4","4.86","36.3","44.3","107","31.2",,"0.363",,,,,,,,,,,,,,"2.55","<1,06","0.0359","2.09","<2,33","0.0855","<0,0640","8.95",,,"<0,300",,,,,,,"4.30E+04","2.30E+04",
"2011 Apr 06 12:00:00 AM","PUENTE GUAYABAL","7.14","22.9","167","470","639","565","74","4.19","35.4","3.56","60","32","28","12.8","6.81","43.5","53","124","24.3",,"0.451",,,,,,,,,,,,,,"2.73","<1,06","0.0514","1.9","<2,33","0.144","<0,0640","9.46",,,"<0,300",,,,,,,"2.40E+05","9.30E+04",
"2011 Apr 06 12:00:00 AM","LA VICTORIA","7.1","23.2","173","667","752","655","97","3.52","47","3.14","62","34","28","13.6","6.81","45","54.9","127","42.3",,"0.258",,,,,,,,,,,,,,"2.37","<1,06","0.045","2.37","<2,33","0.372","<0,0640","8.94",,,"<0,300",,,,,,,"4.30E+05","2.30E+05",
"2011 Apr 06 12:00:00 AM","ANACARO","7.12","22.8","191","729","890","818","72","4.19","40.2","3.45","58","30","28","12","6.81","47.6","58.1","136","30.8",,"0.502",,,,,,,,,,,,,,"2.55","<1,06","0.0376","2.88","<2,33","0.264","<0,0640","10.6",,,"<0,300",,,,,,,"9.30E+04","4.30E+04",
"2011 Apr 06 12:00:00 AM","PUENTE LA VIRGINIA","7.3","22.5","189","612","768","708","60","4.06","31","4.25","70","34","36","13.6","8.75","45.6","55.6","137","21",,"0.272",,,,,,,,,,,,,,"3.46","<1,06","0.0492","2.13","<2,33","0.331","<0,0640","14.5",,,"<0,300",,,,,,,"6.60E+05","4.10E+04",
"2011 Jun 29 12:00:00 AM","ANTES SUAREZ","6.84","21.3","20.1","21","77","5.84","71.2","<1,94","<5,33","5.4","26.7","15.3","11.4","6.13","2.77","15","18.3","66.2",,,"<0,500",,,,,,,,,,,,,,"<2,08","<1,06","0.00206","0.123","3.51","0.0582","<0,0640","13.7",,,"<0,300",,,,,,,"2.10E+04","1.50E+04",
"2011 Jun 29 12:00:00 AM","ANTES RIO OVEJAS","6.86","22","11.4","23","93","8.33","84.7","<1,94","<5,33","5.57","28.7","15.3","13.4","6.13","3.26","15.5","18.9","65.9",,,"<0,500",,,,,,,,,,,,,,"<2,08","<1,06","0.00346","0.13","<2,33","0.131","<0,0640","13.3",,,"<0,300",,,,,,,"1.10E+05","1.10E+05",
"2011 Jun 29 12:00:00 AM","ANTES RIO TIMBA","7.04","22.1","11.2","23","69","11.5","57.5","<1,94","<5,33","6.8","33.2","13.4","19.8","5.37","4.81","18.1","22.1","64",,,"<0,500",,,,,,,,,,,,,,"<2,08","<1,06","0.00205","0.129","<2,33","0.0543","<0,0640","12.5",,,"<0,300",,,,,,,"2.40E+05","1.10E+05",
"2011 Jun 29 12:00:00 AM","PASO DE LA BALSA","7.09","22.4","46.1","35","113","19.3","93.7","<1,94","<5,33","6.91","34.4","13.4","21","5.37","5.11","22.4","27.4","66.8",,,"<0,500",,,,,,,,,,,,,,"<2,08","<1,06","0.00187","<0,114","<2,33","0.0566","<0,0640","11.6",,,"<0,300",,,,,,,"6.60E+04","6.60E+04",
"2011 Jun 29 12:00:00 AM","PASO DE LA BOLSA","6.79","25","45.5","96","91","30.5","60.5","<1,94","<5,33","6.61","38.2","19.1","19.1","7.66","4.64","23.5","28.5","89.3",,,"<0,500",,,,,,,,,,,,,,"2.18","<1,06","<0,00176","0.197","<2,33","0.0736","<0,0640","18.3",,,"<0,300",,,,,,,"2.10E+04","1.50E+04",
"2011 Jun 29 12:00:00 AM","PUENTE HORMIGUERO","7.05","23","73.2","79","177","86","91","2.6","12.9","5.97","42","22","20","8.82","4.86","31.8","38.8","92.2",,,"<0,500",,,,,,,,,,,,,,"2.97","1.38","0.00924","0.129","3.07","0.135","<0,0640","14.9",,,"<0,300",,,,,,,"9.30E+04","4.30E+04",
"2011 Jun 29 12:00:00 AM","ANTES INTERCEPTOR SUR","7.05","22.9","74.6","65","166","77.1","88.9","2.17","11.1","5.54","48","24","24","9.62","5.83","36.6","44.6","104",,,"<0,500",,,,,,,,,,,,,,"2.57","1.19","<0,00176","0.16","<2,33","0.448","<0,0640","16.1",,,"<0,300",,,,,,,"6.60E+05","2.40E+05",
"2011 Jun 29 12:00:00 AM","PASO DEL COMERCIO","6.99","23.3","75.3","55","162","103","59","6.69","21.7","3.97","46","32","14","12.8","3.4","41.9","51.1","123",,,"<0,500",,,,,,,,,,,,,,"3.16","1.58","0.00288","0.424","3.66","0.151","0.0753","15.3",,,"<0,300",,,,,,,"1.50E+06","7.50E+05",
"2011 Jun 29 12:00:00 AM","PUERTO ISAACS","6.96","24","73.2","73","205","122","83","6.63","18.9","3.29","50","30","20","12","4.86","41.7","50.9","125",,,"<0,500",,,,,,,,,,,,,,"3.36","1.78","0.00781","0.128","3.32","0.231","<0,0640","16.1",,,"<0,300",,,,,,,"2.80E+06","1.50E+06",
"2011 Jun 29 12:00:00 AM","PASO DE LA TORRE","7.01","24.2","69.1","70","235","147","88","6.44","23.8","1.27","62","38","24","15.2","5.83","55","67.1","152",,,"<0,500",,,,,,,,,,,,,,"3.36","1.58","0.0216","0.55","3.43","0.209","<0,0640","16.9",,,"<0,300",,,,,,,"1.10E+07","2.10E+06",
